Country, Year,Week,Received/ collected,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (Total),B (Yamagata lineage),B (Victoria lineage),B (lineage not determined),B (Total),Total number of influenza positive viruses,ILI activity
France,1996,3,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,4,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,5,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,6,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,7,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,8,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,9,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,10,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,11,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,12,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,13,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,14,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,15,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,16,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,19,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,20,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,21,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,23,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,25,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,31,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,37,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,38,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,39,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,40,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,41,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,42,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,43,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,44,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,45,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,46,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,47,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,48,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,49,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,50,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,51,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1996,52,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,1,,,,,,152,152,,,3,3,155,Local Outbreak
France,1997,2,,,,,,114,114,,,4,4,118,Regional Outbreak
France,1997,3,,,,,,85,85,,,8,8,93,Local Outbreak
France,1997,4,,,,,,57,57,,,14,14,71,Regional Outbreak
France,1997,5,,,,,,23,23,,,23,23,46,Regional Outbreak
France,1997,6,,,,,,12,12,,,35,35,47,Regional Outbreak
France,1997,7,,,,,,2,2,,,29,29,31,Local Outbreak
France,1997,8,,,,,,13,13,,,16,16,29,Sporadic
France,1997,9,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,10,,,,,,1,1,,,11,11,12,Regional Outbreak
France,1997,11,,,,,,1,1,,,8,8,9,Sporadic
France,1997,12,,,,,,1,1,,,12,12,13,Sporadic
France,1997,13,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,14,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,15,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,16,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,19,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,20,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,21,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,23,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,25,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,31,,0,,0,,0,0,,,,,0,No Activity
France,1997,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1997,36,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1997,37,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1997,38,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1997,39,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1997,40,,,,,,0,0,,,,,0,No Activity
France,1997,41,,,,,,0,0,,,,,0,No Activity
France,1997,42,,,,1,,0,1,,,,,1,No Activity
France,1997,43,,,,,,0,0,,,1,1,1,Sporadic
France,1997,44,,,,,,0,0,,,2,2,2,Sporadic
France,1997,45,,,,,,1,1,,,,,1,No Activity
France,1997,46,,,,,,0,0,,,1,1,1,Sporadic
France,1997,47,,0,,0,,0,0,,,,,0,No Activity
France,1997,48,,,,,,2,2,,,1,1,3,Sporadic
France,1997,49,,,,,,1,1,,,,,1,Sporadic
France,1997,50,,,,,,2,2,,,,,2,Sporadic
France,1997,51,,,,2,,4,6,,,,,6,Sporadic
France,1997,52,,,,,,3,3,,,,,3,Sporadic
France,1998,1,,0,,0,,6,6,,,,,6,Sporadic
France,1998,2,,0,,0,,12,12,,,1,1,13,Sporadic
France,1998,3,,0,,0,,9,9,,,2,2,11,Sporadic
France,1998,4,,0,,0,,25,25,,,,,25,Widespread Outbreak
France,1998,5,,0,,0,,38,38,,,2,2,40,Regional Outbreak
France,1998,6,,0,,2,,31,33,,,2,2,35,Regional Outbreak
France,1998,7,,1,,4,,87,92,,,4,4,96,Regional Outbreak
France,1998,8,,0,,74,,86,160,,,16,16,176,Regional Outbreak
France,1998,9,,0,,0,,163,163,,,5,5,168,Regional Outbreak
France,1998,10,,0,,0,,66,66,,,4,4,70,Regional Outbreak
France,1998,11,,0,,0,,64,64,,,7,7,71,Regional Outbreak
France,1998,12,,0,,0,,87,87,,,3,3,90,Regional Outbreak
France,1998,13,,,,,,50,50,,,18,18,68,Widespread Outbreak
France,1998,14,,,,,,45,45,,,10,10,55,Local Outbreak
France,1998,15,,,,,,20,20,,,6,6,26,Sporadic
France,1998,16,,,,,,31,31,,,13,13,44,Sporadic
France,1998,17,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
France,1998,18,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,19,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
France,1998,20,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,21,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
France,1998,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,23,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,25,,,,,,0,0,,,,,0,No Activity
France,1998,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,30,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,31,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,32,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,34,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1998,36,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,37,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,38,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1998,39,,0,,1,,0,1,,,,,1,Sporadic
France,1998,40,,0,,0,,0,0,,,,,0,No Activity
France,1998,41,,0,,1,,0,1,,,,,1,Sporadic
France,1998,42,,0,,0,,0,0,,,,,0,No Activity
France,1998,43,,,,,,3,3,,,,,3,Sporadic
France,1998,44,,0,,0,,0,0,,,,,0,No Activity
France,1998,45,,0,,0,,3,3,,,,,3,Sporadic
France,1998,46,,0,,0,,2,2,,,,,2,Sporadic
France,1998,47,,0,,2,,2,4,,,1,1,5,Sporadic
France,1998,48,,0,,2,,5,7,,,5,5,12,Sporadic
France,1998,49,,0,,0,,10,10,,,2,2,12,Sporadic
France,1998,50,,0,,10,,15,25,,,2,2,27,Sporadic
France,1998,51,,,,8,,21,29,,,5,5,34,Sporadic
France,1998,52,,0,,21,,26,47,,,17,17,64,Local Outbreak
France,1998,53,,,,39,,32,71,,,20,20,91,Local Outbreak
France,1999,1,,0,,60,,692,752,,,700,700,1452,Widespread Outbreak
France,1999,2,,,,,,659,659,,,579,579,1238,Widespread Outbreak
France,1999,3,,0,,113,,86,199,,,31,31,230,Widespread Outbreak
France,1999,4,,0,,113,,74,187,,,547,547,734,Widespread Outbreak
France,1999,5,,0,,64,,0,64,,,27,27,91,Widespread Outbreak
France,1999,6,,,,86,,65,151,,,40,40,191,Widespread Outbreak
France,1999,7,,0,,55,,86,141,,,24,24,165,Regional Outbreak
France,1999,8,,0,,54,,0,54,,,28,28,82,Regional Outbreak
France,1999,9,,0,,89,,0,89,,,23,23,112,Regional Outbreak
France,1999,10,,,,7,,15,22,,,18,18,40,Local Outbreak
France,1999,11,,,,16,,4,20,,,6,6,26,Sporadic
France,1999,12,,0,,1,,7,8,,,5,5,13,Sporadic
France,1999,13,,0,,9,,4,13,,,11,11,24,Sporadic
France,1999,14,,0,,1,,1,2,,,2,2,4,Sporadic
France,1999,15,,,,2,,,2,,,1,1,3,Sporadic
France,1999,16,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
France,1999,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1999,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1999,19,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1999,20,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,21,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,22,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,23,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,24,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,25,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,26,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,27,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,28,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,29,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,30,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,31,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,32,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,1999,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1999,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1999,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1999,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,1999,37,,,,1,,,1,,,,,1,Sporadic
France,1999,38,,0,,1,,1,2,,,,,2,Sporadic
France,1999,39,,0,,1,,1,2,,,,,2,Sporadic
France,1999,40,,0,,2,,0,2,,,,,2,Sporadic
France,1999,41,,0,,0,,2,2,,,,,2,Sporadic
France,1999,42,,0,,0,,2,2,,,,,2,Sporadic
France,1999,43,,0,,0,,3,3,,,,,3,Sporadic
France,1999,44,,1,,1,,7,9,,,,,9,Sporadic
France,1999,45,,0,,0,,9,9,,,,,9,Sporadic
France,1999,46,,0,,0,,25,25,,,,,25,Regional Outbreak
France,1999,47,,0,,14,,45,59,,,,,59,Local Outbreak
France,1999,48,,0,,26,,36,62,,,1,1,63,Local Outbreak
France,1999,49,,0,,65,,133,198,,,,,198,Regional Outbreak
France,1999,50,,0,,63,,140,203,,,,,203,Widespread Outbreak
France,1999,51,,0,,69,,0,69,,,,,69,Widespread Outbreak
France,1999,52,,0,,133,,92,225,,,,,225,Widespread Outbreak
France,2000,1,,0,,106,,127,233,,,1,1,234,Widespread Outbreak
France,2000,2,,,,104,,98,202,,,,,202,Widespread Outbreak
France,2000,3,,0,,55,,67,122,,,,,122,Widespread Outbreak
France,2000,4,,0,,30,,38,68,,,2,2,70,Regional Outbreak
France,2000,5,,0,,,,14,14,,,,,14,Regional Outbreak
France,2000,6,,0,,9,,17,26,,,,,26,Regional Outbreak
France,2000,7,,5,,8,,2,15,,,,,15,Sporadic
France,2000,8,,0,,1,,5,6,,,1,1,7,Sporadic
France,2000,9,,0,,3,,7,10,,,,,10,Sporadic
France,2000,10,,0,,4,,0,4,,,1,1,5,Sporadic
France,2000,11,,0,,0,,1,1,,,1,1,2,Sporadic
France,2000,12,,0,,0,,0,0,,,1,1,1,Sporadic
France,2000,13,,0,,0,,2,2,,,,,2,No Activity
France,2000,14,,1,,1,,0,2,,,,,2,No Activity
France,2000,15,,0,,0,,2,2,,,,,2,Sporadic
France,2000,16,,,,,,2,2,,,1,1,3,Sporadic
France,2000,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,19,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,20,,,,,,1,1,,,1,1,2,Sporadic
France,2000,21,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,23,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,25,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,29,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,31,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,35,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2000,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,37,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,38,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2000,39,,0,,0,,0,0,,,,,0,No Activity
France,2000,40,,0,,0,,1,1,,,,,1,No Activity
France,2000,41,,0,,0,,0,0,,,,,0,No Activity
France,2000,42,,0,,0,,0,0,,,,,0,No Activity
France,2000,43,,0,,0,,0,0,,,3,3,3,Sporadic
France,2000,44,,0,,1,,1,2,,,,,2,Sporadic
France,2000,45,,2,,0,,1,3,,,,,3,Sporadic
France,2000,46,,0,,0,,4,4,,,,,4,Sporadic
France,2000,47,,3,,0,,19,22,,,,,22,Local Outbreak
France,2000,48,,7,,2,,28,37,,,,,37,Regional Outbreak
France,2000,49,,0,,0,,36,36,,,,,36,Regional Outbreak
France,2000,50,,,,,,37,37,,,,,37,Regional Outbreak
France,2000,51,,,,,,27,27,,,,,27,Regional Outbreak
France,2000,52,,0,,0,,48,48,,,,,48,Regional Outbreak
France,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,Regional Outbreak
France,2001,2,,,,,,34,34,,,3,3,37,Regional Outbreak
France,2001,3,,,,,,70,70,,,4,4,74,Regional Outbreak
France,2001,4,,,,,,105,105,,,9,9,114,Regional Outbreak
France,2001,5,,0,,0,,79,79,,,5,5,84,Regional Outbreak
France,2001,6,,0,,0,,50,50,,,8,8,58,Regional Outbreak
France,2001,7,,0,,0,,27,27,,,6,6,33,Regional Outbreak
France,2001,8,,0,,1,,21,22,,,7,7,29,Sporadic
France,2001,9,,0,,0,,16,16,,,18,18,34,Sporadic
France,2001,10,,0,,0,,16,16,,,23,23,39,Sporadic
France,2001,11,,0,,0,,3,3,,,41,41,44,Sporadic
France,2001,12,,0,,0,,3,3,,,25,25,28,Sporadic
France,2001,13,,0,,0,,1,1,,,9,9,10,Sporadic
France,2001,14,,0,,0,,5,5,,,20,20,25,Sporadic
France,2001,15,,0,,0,,1,1,,,14,14,15,Sporadic
France,2001,16,,0,,0,,1,1,,,18,18,19,Sporadic
France,2001,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,19,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
France,2001,20,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,21,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2001,22,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2001,23,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,25,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
France,2001,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,27,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,28,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2001,29,,,,,,0,0,,,,,0,No Activity
France,2001,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,31,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,32,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,33,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,37,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,38,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2001,39,,0,,0,,0,0,,,1,1,1,Sporadic
France,2001,40,,0,,0,,0,0,,,,,0,No Activity
France,2001,41,,0,,0,,0,0,,,,,0,No Activity
France,2001,42,,0,,0,,0,0,,,,,0,No Activity
France,2001,43,,0,,0,,0,0,,,,,0,No Activity
France,2001,44,,0,,0,,0,0,,,,,0,No Activity
France,2001,45,,0,,0,,0,0,,,1,1,1,No Activity
France,2001,46,,0,,1,,0,1,,,1,1,2,Sporadic
France,2001,47,,0,,1,,0,1,,,4,4,5,Sporadic
France,2001,48,,0,,0,,4,4,,,6,6,10,Sporadic
France,2001,49,,0,,0,,8,8,,,12,12,20,Sporadic
France,2001,50,,0,,4,,16,20,,,14,14,34,Sporadic
France,2001,51,,0,,6,,25,31,,,6,6,37,Local Outbreak
France,2001,52,,0,,0,,28,28,,,12,12,40,Regional Outbreak
France,2002,1,,0,,0,,41,41,,,22,22,63,Regional Outbreak
France,2002,2,,0,,0,,243,243,,,49,49,292,Regional Outbreak
France,2002,3,,0,,0,,212,212,,,46,46,258,Widespread Outbreak
France,2002,4,,0,,3,,269,272,,,62,62,334,Widespread Outbreak
France,2002,5,,0,,11,,563,574,,,70,70,644,Regional Outbreak
France,2002,6,,,,,,504,504,,,91,91,595,Local Outbreak
France,2002,7,,0,,4,,470,474,,,75,75,549,Local Outbreak
France,2002,8,,0,,0,,393,393,,,113,113,506,Local Outbreak
France,2002,9,,0,,1,,83,84,,,66,66,150,Sporadic
France,2002,10,,0,,0,,33,33,,,23,23,56,Local Outbreak
France,2002,11,,1,,1,,18,20,,,23,23,43,Sporadic
France,2002,12,,,,,,8,8,,,6,6,14,Sporadic
France,2002,13,,0,,0,,4,4,,,9,9,13,Sporadic
France,2002,14,,0,,0,,5,5,,,13,13,18,Sporadic
France,2002,15,,0,,0,,2,2,,,11,11,13,Sporadic
France,2002,16,,0,,0,,2,2,,,5,5,7,Sporadic
France,2002,17,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,18,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,19,0,0,0,0,0,0,0,0,0,0,0,0,Sporadic
France,2002,20,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,21,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,22,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,23,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,24,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,25,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,26,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,27,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2002,28,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,29,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2002,30,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,31,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2002,32,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2002,33,0,0,0,0,0,0,0,0,0,0,0,0,No Activity
France,2002,34,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,35,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,36,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,37,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,38,0,0,0,0,0,0,0,0,0,0,0,0,No Report
France,2002,39,,0,,0,,0,0,,,,,0,No Activity
France,2002,40,,0,,0,,0,0,,,1,1,1,Sporadic
France,2002,41,,0,,0,,1,1,,,,,1,No Activity
France,2002,42,,0,,0,,0,0,,,,,0,No Activity
France,2002,43,,0,,0,,0,0,,,,,0,No Activity
France,2002,44,,0,,0,,0,0,,,1,1,1,Sporadic
